,timesteps,reward,hidden_reward,episode_length
5414,47165,-52,0,2
5415,47177,-62,0,12
5416,47184,-57,0,7
5417,47188,-54,0,4
5418,47190,-52,0,2
5419,47193,-53,0,3
5420,47211,32,0,18
5421,47214,-53,0,3
5422,47225,39,0,11
5423,47258,17,0,33
5424,47264,-56,0,6
5425,47266,-52,0,2
5426,47273,-57,0,7
5427,47277,-54,0,4
5428,47282,-55,0,5
5429,47297,-65,0,15
5430,47303,-56,0,6
5431,47311,-58,0,8
5432,47322,-61,0,11
5433,47325,-53,0,3
5434,47328,-53,0,3
5435,47338,-60,0,10
5436,47348,-60,0,10
5437,47351,-53,0,3
5438,47353,-52,0,2
5439,47356,-53,0,3
5440,47369,-63,0,13
5441,47375,-56,0,6
5442,47380,-55,0,5
5443,47393,-63,0,13
5444,47402,-59,0,9
5445,47416,-64,0,14
5446,47425,-59,0,9
5447,47429,-54,0,4
5448,47431,-52,0,2
5449,47437,-56,0,6
5450,47445,-58,0,8
5451,47449,-54,0,4
5452,47451,-52,0,2
5453,47457,-56,0,6
5454,47459,-52,0,2
5455,47463,-54,0,4
5456,47475,-62,0,12
5457,47485,-60,0,10
5458,47487,-52,0,2
5459,47491,-54,0,4
5460,47501,-60,0,10
5461,47507,-56,0,6
5462,47582,-25,0,75
5463,47586,-54,0,4
5464,47588,-52,0,2
5465,47590,-52,0,2
5466,47593,-53,0,3
5467,47597,-54,0,4
5468,47627,20,0,30
5469,47631,-54,0,4
5470,47633,-52,0,2
5471,47641,-58,0,8
5472,47656,35,0,15
5473,47674,-68,0,18
5474,47676,-52,0,2
5475,47685,-59,0,9
5476,47687,-52,0,2
5477,47691,-54,0,4
5478,47710,31,0,19
5479,47720,-60,0,10
5480,47723,-53,0,3
5481,47735,-62,0,12
5482,47739,-54,0,4
5483,47742,-53,0,3
5484,47746,-54,0,4
5485,47754,-58,0,8
5486,47770,34,0,16
5487,47778,-58,0,8
5488,47780,-52,0,2
5489,47786,-56,0,6
5490,47790,-54,0,4
5491,47793,-53,0,3
5492,47796,-53,0,3
5493,47819,27,0,23
5494,47822,-53,0,3
5495,47831,-59,0,9
5496,47861,20,0,30
5497,47868,-57,0,7
5498,47874,-56,0,6
5499,47886,38,0,12
5500,47891,-55,0,5
5501,47893,-52,0,2
5502,47900,-57,0,7
5503,47905,-55,0,5
5504,47907,-52,0,2
5505,47917,-60,0,10
5506,47936,31,0,19
5507,47951,35,0,15
5508,47965,36,0,14
5509,47973,-58,0,8
5510,47975,-52,0,2
5511,47984,-59,0,9
5512,47992,-58,0,8
5513,47996,-54,0,4
5514,48002,-56,0,6
5515,48004,-52,0,2
5516,48006,-52,0,2
5517,48008,-52,0,2
5518,48011,-53,0,3
5519,48016,-55,0,5
5520,48022,-56,0,6
5521,48029,-57,0,7
5522,48036,-57,0,7
5523,48038,-52,0,2
5524,48042,-54,0,4
5525,48047,-55,0,5
5526,48050,-53,0,3
5527,48058,-58,0,8
5528,48148,-40,0,90
5529,48150,-52,0,2
5530,48152,-52,0,2
5531,48157,-55,0,5
5532,48192,15,0,35
5533,48202,-60,0,10
5534,48204,-52,0,2
5535,48206,-52,0,2
5536,48208,-52,0,2
5537,48212,-54,0,4
5538,48215,-53,0,3
5539,48219,-54,0,4
5540,48223,-54,0,4
5541,48228,-55,0,5
5542,48244,-66,0,16
5543,48246,-52,0,2
5544,48276,20,0,30
5545,48278,-52,0,2
5546,48281,-53,0,3
5547,48288,-57,0,7
5548,48291,-53,0,3
5549,48296,-55,0,5
5550,48300,-54,0,4
5551,48306,-56,0,6
5552,48320,-64,0,14
5553,48326,-56,0,6
5554,48340,-64,0,14
5555,48347,-57,0,7
5556,48381,16,0,34
5557,48385,-54,0,4
5558,48390,-55,0,5
5559,48400,-60,0,10
5560,48409,-59,0,9
5561,48413,-54,0,4
5562,48416,-53,0,3
5563,48422,-56,0,6
5564,48438,34,0,16
5565,48442,-54,0,4
5566,48454,-62,0,12
5567,48457,-53,0,3
5568,48459,-52,0,2
5569,48461,-52,0,2
5570,48465,-54,0,4
5571,48482,33,0,17
5572,48492,-60,0,10
5573,48497,-55,0,5
5574,48502,-55,0,5
5575,48505,-53,0,3
5576,48507,-52,0,2
5577,48509,-52,0,2
5578,48520,-61,0,11
5579,48527,-57,0,7
5580,48531,-54,0,4
5581,48536,-55,0,5
5582,48540,-54,0,4
5583,48576,14,0,36
5584,48578,-52,0,2
5585,48584,-56,0,6
5586,48590,-56,0,6
5587,48605,35,0,15
5588,48609,-54,0,4
5589,48613,-54,0,4
5590,48617,-54,0,4
5591,48621,-54,0,4
5592,48623,-52,0,2
5593,48628,-55,0,5
5594,48667,-89,0,39
5595,48669,-52,0,2
5596,48674,-55,0,5
5597,48703,21,0,29
5598,48705,-52,0,2
5599,48805,-100,0,100
