,timesteps,reward,hidden_reward,episode_length
269,4947,42,-108,8
270,4959,38,8,12
271,4966,43,13,7
272,4972,44,-76,6
273,4977,-15,-15,5
274,5014,13,-17,37
275,5024,40,-20,10
276,5028,16,16,4
277,5036,-18,-18,8
278,5047,9,9,11
279,5052,45,15,5
280,5119,-77,-77,67
281,5123,-14,-14,4
282,5136,37,-23,13
283,5145,41,-79,9
284,5156,-111,-111,11
285,5162,14,14,6
286,5192,20,-220,30
287,5199,43,-77,7
288,5202,17,17,3
289,5218,34,4,16
290,5222,16,16,4
291,5226,46,-14,4
292,5240,36,-24,14
293,5244,16,16,4
294,5260,4,4,16
295,5263,17,17,3
296,5266,17,17,3
297,5269,47,17,3
298,5273,-14,-14,4
299,5364,-41,-41,91
300,5369,45,-15,5
301,5373,16,16,4
302,5377,16,16,4
303,5410,17,17,33
304,5418,42,12,8
305,5427,11,11,9
306,5435,42,-48,8
307,5448,-23,-23,13
308,5455,43,-17,7
309,5459,16,16,4
310,5474,35,-55,15
311,5484,-110,-110,10
312,5487,17,17,3
313,5493,-16,-16,6
314,5500,43,13,7
315,5503,47,17,3
316,5509,44,14,6
317,5513,46,16,4
318,5517,-14,-14,4
319,5530,37,-83,13
320,5533,47,17,3
321,5539,-16,-16,6
322,5543,46,16,4
323,5588,5,-25,45
324,5593,15,15,5
325,5601,42,12,8
326,5612,39,9,11
327,5621,-19,-19,9
328,5625,16,16,4
329,5628,17,17,3
330,5632,16,16,4
331,5635,17,17,3
332,5644,41,-49,9
333,5654,40,10,10
334,5677,27,-123,23
335,5682,45,15,5
336,5699,33,3,17
337,5704,-15,-15,5
338,5745,9,-21,41
339,5749,16,16,4
340,5759,40,-140,10
341,5771,38,-22,12
342,5781,-20,-20,10
343,5787,14,14,6
344,5823,14,14,36
345,5827,16,16,4
346,5831,16,16,4
347,5838,43,13,7
348,5841,47,17,3
349,5849,42,-18,8
350,5855,44,-16,6
351,5858,17,17,3
352,5863,15,15,5
353,5874,39,-51,11
354,5879,45,-15,5
355,5906,23,-37,27
356,5914,-18,-18,8
357,5939,25,-95,25
358,5945,-16,-16,6
359,5954,11,11,9
360,5978,26,26,24
361,5986,42,-18,8
362,5990,-14,-14,4
363,5998,42,12,8
364,6017,31,-59,19
365,6020,17,17,3
366,6031,39,-81,11
367,6034,47,17,3
368,6039,-15,-15,5
369,6084,5,5,45
370,6098,36,-174,14
371,6111,-23,-23,13
372,6122,9,9,11
373,6126,46,16,4
374,6134,-18,-18,8
375,6152,-88,-88,18
376,6155,17,17,3
377,6162,43,13,7
378,6223,-11,-101,61
379,6227,46,16,4
380,6231,46,16,4
381,6234,17,17,3
382,6238,-14,-14,4
383,6247,41,-19,9
384,6266,31,1,19
385,6270,46,-14,4
386,6278,-48,-48,8
387,6285,13,13,7
388,6288,17,17,3
389,6292,-14,-14,4
390,6298,14,14,6
391,6339,9,9,41
392,6349,10,10,10
393,6354,15,15,5
394,6359,-15,-15,5
395,6362,17,17,3
396,6378,34,-236,16
397,6386,42,-48,8
398,6404,32,-148,18
399,6407,17,17,3
400,6430,27,-63,23
401,6435,45,-45,5
402,6446,39,9,11
403,6451,45,-15,5
404,6457,-16,-16,6
405,6462,-45,-45,5
406,6469,43,13,7
407,6473,16,16,4
408,6490,33,3,17
409,6493,17,17,3
410,6518,25,-5,25
411,6530,38,-112,12
412,6540,40,10,10
413,6547,43,-47,7
414,6577,20,-10,30
415,6581,46,16,4
416,6590,41,11,9
417,6617,23,-7,27
418,6622,15,15,5
419,6650,-8,-8,28
420,6656,14,14,6
421,6659,17,17,3
422,6664,45,15,5
423,6671,43,-17,7
424,6674,17,17,3
425,6681,43,-77,7
426,6687,14,14,6
427,6691,-14,-14,4
428,6700,41,-19,9
429,6705,45,15,5
430,6712,13,13,7
431,6720,42,-18,8
432,6725,15,15,5
433,6814,-39,-39,89
434,6821,43,-47,7
435,6825,16,16,4
436,6835,40,10,10
437,6840,-15,-15,5
438,6901,-11,-11,61
439,6905,46,16,4
440,6908,17,17,3
441,6912,16,16,4
442,6917,15,15,5
443,6924,43,13,7
444,6933,41,-49,9
445,6964,-41,-41,31
446,6975,39,-111,11
447,6978,17,17,3
448,6981,17,17,3
449,6989,42,12,8
450,6997,-18,-18,8
451,7009,38,8,12
452,7018,41,-19,9
453,7027,-19,-19,9
454,7032,15,15,5
455,7078,4,-206,46
456,7081,47,17,3
457,7101,30,-180,20
