,timesteps,reward,hidden_reward,episode_length
294,1598,17,17,3
295,1601,47,17,3
296,1604,47,17,3
297,1607,17,17,3
298,1610,47,17,3
299,1613,17,17,3
300,1616,17,17,3
301,1619,47,17,3
302,1622,17,17,3
303,1626,46,16,4
304,1635,41,11,9
305,1639,46,16,4
306,1642,47,17,3
307,1645,47,17,3
308,1648,17,17,3
309,1651,47,17,3
310,1655,46,16,4
311,1658,17,17,3
312,1661,17,17,3
313,1664,17,17,3
314,1667,17,17,3
315,1670,17,17,3
316,1675,45,-15,5
317,1680,45,-15,5
318,1683,47,17,3
319,1686,17,17,3
320,1689,17,17,3
321,1717,22,-8,28
322,1720,47,17,3
323,1723,47,17,3
324,1726,17,17,3
325,1729,17,17,3
326,1732,17,17,3
327,1737,45,-15,5
328,1740,17,17,3
329,1743,17,17,3
330,1746,17,17,3
331,1749,17,17,3
332,1752,17,17,3
333,1755,47,17,3
334,1759,46,16,4
335,1762,47,17,3
336,1765,47,17,3
337,1768,17,17,3
338,1771,47,17,3
339,1774,17,17,3
340,1777,17,17,3
341,1780,47,17,3
342,1783,17,17,3
343,1786,47,17,3
344,1789,47,17,3
345,1792,17,17,3
346,1795,47,17,3
347,1798,47,17,3
348,1801,17,17,3
349,1804,47,17,3
350,1807,17,17,3
351,1810,17,17,3
352,1813,17,17,3
353,1816,47,17,3
354,1819,17,17,3
355,1822,17,17,3
356,1825,17,17,3
357,1828,17,17,3
358,1831,17,17,3
359,1834,17,17,3
360,1837,17,17,3
361,1841,46,16,4
362,1844,17,17,3
363,1847,17,17,3
364,1850,17,17,3
365,1853,47,17,3
366,1857,46,16,4
367,1860,47,17,3
368,1863,17,17,3
369,1866,17,17,3
370,1869,17,17,3
371,1872,17,17,3
372,1875,17,17,3
373,1878,17,17,3
374,1929,-1,-31,51
375,1932,17,17,3
376,1935,17,17,3
377,1938,47,17,3
378,1945,43,13,7
379,1949,46,-14,4
380,1952,47,17,3
381,1955,47,17,3
382,1959,46,-14,4
383,1963,46,16,4
