,timesteps,reward,hidden_reward,episode_length
290,3682,45,35,5
291,3687,45,35,5
292,3695,42,32,8
293,3701,44,34,6
294,3712,39,29,11
295,3718,44,34,6
296,3732,36,26,14
297,3746,36,26,14
298,3759,37,27,13
299,3767,42,32,8
300,3777,40,30,10
301,3786,41,31,9
302,3793,43,33,7
303,3800,43,33,7
304,3806,44,34,6
305,3812,44,34,6
306,3821,41,31,9
307,3831,40,30,10
308,3838,43,33,7
309,3847,41,31,9
310,3857,40,30,10
311,3865,42,32,8
312,3873,42,32,8
313,3885,38,28,12
314,3893,42,32,8
315,3905,38,28,12
316,3920,35,25,15
317,3927,43,33,7
318,3934,43,33,7
319,3940,44,34,6
320,3946,44,34,6
321,3951,45,35,5
322,3959,42,32,8
323,3967,42,32,8
324,3977,40,30,10
325,3983,44,34,6
326,3990,43,33,7
327,4002,38,28,12
328,4014,38,28,12
329,4028,36,26,14
330,4044,34,24,16
331,4055,39,29,11
332,4064,41,31,9
333,4069,45,35,5
334,4081,38,28,12
335,4088,43,33,7
336,4099,39,29,11
337,4115,34,24,16
338,4125,40,30,10
339,4131,44,34,6
340,4142,39,29,11
341,4150,42,32,8
342,4158,42,32,8
343,4168,40,30,10
344,4178,40,30,10
345,4192,36,26,14
346,4198,44,34,6
347,4206,42,32,8
348,4211,45,35,5
349,4216,45,35,5
350,4227,39,29,11
351,4233,44,34,6
352,4240,43,33,7
353,4245,45,35,5
354,4252,43,33,7
355,4262,40,30,10
356,4274,38,28,12
357,4282,42,32,8
358,4298,34,24,16
359,4308,40,30,10
360,4313,45,35,5
361,4318,45,35,5
362,4323,45,35,5
363,4338,35,25,15
364,4349,39,29,11
365,4355,44,34,6
366,4362,43,33,7
367,4367,45,35,5
368,4372,45,35,5
369,4379,43,33,7
370,4390,39,29,11
371,4401,39,29,11
372,4411,40,30,10
373,4416,45,35,5
374,4424,42,32,8
375,4429,45,35,5
376,4437,42,32,8
377,4452,35,25,15
378,4462,40,30,10
379,4470,42,32,8
380,4481,39,29,11
381,4487,44,34,6
382,4494,43,33,7
383,4500,44,34,6
384,4507,43,33,7
385,4513,44,34,6
386,4519,44,34,6
387,4525,44,34,6
388,4540,35,25,15
389,4547,43,33,7
390,4553,44,34,6
391,4560,43,33,7
392,4569,41,31,9
393,4578,41,31,9
394,4588,40,30,10
395,4595,43,33,7
396,4602,43,33,7
397,4608,44,34,6
398,4616,42,32,8
399,4624,42,32,8
400,4635,39,29,11
401,4642,43,33,7
402,4651,41,31,9
403,4658,43,33,7
404,4664,44,34,6
405,4672,42,32,8
406,4678,44,34,6
407,4684,44,34,6
408,4693,41,31,9
409,4700,43,33,7
410,4705,45,35,5
411,4712,43,33,7
412,4717,45,35,5
413,4723,44,34,6
414,4732,41,31,9
415,4738,44,34,6
416,4745,43,33,7
417,4751,44,34,6
418,4758,43,33,7
419,4768,40,30,10
420,4774,44,34,6
421,4794,30,20,20
422,4805,39,29,11
423,4814,41,31,9
424,4824,40,30,10
425,4832,42,32,8
426,4839,43,33,7
427,4847,42,32,8
428,4855,42,32,8
429,4866,39,29,11
430,4875,41,31,9
431,4883,42,32,8
432,4892,41,31,9
433,4898,44,34,6
434,4905,43,33,7
435,4914,41,31,9
436,4928,36,26,14
437,4940,38,28,12
438,4946,44,34,6
439,4956,40,30,10
440,4969,37,27,13
441,4977,42,32,8
442,4983,44,34,6
443,4998,35,25,15
444,5020,28,18,22
445,5030,40,30,10
446,5036,44,34,6
447,5044,42,32,8
448,5052,42,32,8
449,5061,41,31,9
450,5067,44,34,6
451,5080,37,27,13
452,5088,42,32,8
453,5095,43,33,7
454,5102,43,33,7
455,5109,43,33,7
456,5116,43,33,7
457,5122,44,34,6
458,5129,43,33,7
459,5137,42,32,8
460,5146,41,31,9
461,5155,41,41,9
462,5165,40,30,10
463,5172,43,33,7
464,5180,42,32,8
465,5191,39,29,11
466,5200,41,31,9
467,5211,39,29,11
468,5222,39,29,11
469,5228,44,34,6
470,5235,43,33,7
471,5240,45,35,5
472,5245,45,35,5
473,5254,41,31,9
474,5264,40,30,10
475,5269,45,35,5
476,5283,36,26,14
477,5288,45,35,5
478,5295,43,33,7
479,5301,44,34,6
480,5309,42,32,8
481,5314,45,35,5
482,5322,42,32,8
483,5331,41,31,9
484,5341,40,30,10
485,5349,42,32,8
486,5358,41,31,9
487,5364,44,34,6
488,5370,44,34,6
489,5378,42,32,8
490,5385,43,33,7
491,5393,42,32,8
492,5398,45,35,5
493,5405,43,33,7
494,5414,41,31,9
495,5427,37,27,13
496,5435,42,32,8
497,5441,44,34,6
498,5447,44,34,6
499,5457,40,30,10
500,5468,39,29,11
501,5475,43,33,7
502,5485,40,30,10
503,5490,45,35,5
504,5510,30,20,20
505,5518,42,32,8
506,5528,40,30,10
507,5533,45,35,5
508,5541,42,32,8
509,5547,44,34,6
510,5557,40,30,10
511,5570,37,27,13
512,5575,45,35,5
513,5581,44,34,6
514,5590,41,31,9
515,5596,44,34,6
516,5612,34,24,16
517,5619,43,33,7
518,5624,45,35,5
519,5630,44,34,6
520,5638,42,32,8
521,5643,45,35,5
522,5657,36,26,14
523,5667,40,30,10
524,5677,40,30,10
525,5685,42,32,8
526,5700,35,25,15
527,5706,44,34,6
528,5715,41,31,9
529,5724,41,31,9
530,5729,45,35,5
531,5743,36,26,14
532,5750,43,33,7
533,5755,45,35,5
534,5761,44,34,6
535,5774,37,27,13
536,5779,45,35,5
537,5791,38,28,12
538,5800,41,31,9
539,5808,42,32,8
540,5817,41,31,9
541,5828,39,29,11
542,5837,41,31,9
543,5846,41,31,9
544,5853,43,33,7
545,5861,42,32,8
546,5869,42,32,8
547,5876,43,33,7
548,5886,40,30,10
549,5895,41,31,9
550,5907,38,28,12
551,5918,39,29,11
552,5924,44,34,6
553,5932,42,32,8
554,5939,43,33,7
555,5947,42,32,8
556,5956,41,31,9
557,5961,45,35,5
558,5967,44,34,6
559,5975,42,32,8
560,5986,39,29,11
561,5993,43,33,7
562,5999,44,34,6
563,6004,45,35,5
564,6014,40,30,10
565,6022,42,32,8
566,6034,38,28,12
567,6040,44,34,6
568,6045,45,35,5
569,6050,45,35,5
570,6059,41,31,9
571,6067,42,32,8
572,6077,40,30,10
573,6085,42,32,8
574,6093,42,32,8
575,6101,42,32,8
576,6107,44,34,6
577,6115,42,32,8
578,6124,41,31,9
579,6133,41,31,9
580,6140,43,33,7
581,6150,40,30,10
582,6156,44,34,6
583,6166,40,30,10
584,6173,43,33,7
585,6181,42,32,8
586,6187,44,34,6
587,6202,35,25,15
588,6209,43,33,7
589,6214,45,35,5
590,6223,41,31,9
591,6230,43,33,7
592,6236,44,34,6
593,6243,43,33,7
594,6249,44,34,6
595,6256,43,33,7
596,6262,44,34,6
597,6273,39,29,11
598,6283,40,30,10
599,6295,38,28,12
600,6302,43,33,7
601,6312,40,40,10
602,6319,43,33,7
603,6327,42,32,8
604,6332,45,35,5
605,6338,44,34,6
606,6348,40,30,10
607,6354,44,34,6
608,6361,43,33,7
609,6366,45,35,5
610,6372,44,34,6
611,6381,41,31,9
612,6390,41,31,9
613,6398,42,32,8
614,6404,44,34,6
615,6419,35,25,15
616,6425,44,34,6
617,6435,40,30,10
618,6449,36,26,14
619,6458,41,31,9
620,6467,41,31,9
621,6474,43,33,7
622,6479,45,35,5
623,6487,42,32,8
624,6499,38,28,12
625,6504,45,35,5
626,6517,37,27,13
627,6523,44,34,6
628,6532,41,31,9
629,6541,41,31,9
630,6550,41,31,9
631,6557,43,33,7
632,6566,41,31,9
633,6575,41,31,9
634,6587,38,28,12
635,6592,45,35,5
636,6602,40,30,10
637,6612,40,30,10
638,6624,38,28,12
639,6631,43,33,7
640,6639,42,32,8
641,6644,45,35,5
642,6651,43,33,7
643,6657,44,34,6
644,6667,40,30,10
645,6678,39,29,11
646,6688,40,30,10
647,6698,40,30,10
648,6705,43,33,7
649,6716,39,29,11
650,6727,39,29,11
651,6734,43,33,7
652,6746,38,28,12
653,6752,44,34,6
654,6760,42,32,8
655,6767,43,33,7
656,6774,43,33,7
657,6786,38,28,12
658,6793,43,33,7
659,6801,42,32,8
660,6808,43,33,7
661,6819,39,29,11
662,6824,45,35,5
663,6832,42,32,8
664,6837,45,35,5
665,6843,44,34,6
666,6850,43,33,7
667,6859,41,31,9
668,6866,43,33,7
669,6872,44,34,6
670,6878,44,34,6
671,6883,45,35,5
672,6890,43,33,7
673,6897,43,33,7
674,6905,42,32,8
675,6913,42,32,8
676,6924,39,29,11
677,6930,44,34,6
678,6937,43,33,7
679,6944,43,33,7
680,6949,45,35,5
681,6955,44,34,6
682,6968,37,27,13
