,timesteps,reward,hidden_reward,episode_length
291,3701,40,30,10
292,3708,43,33,7
293,3715,43,33,7
294,3724,41,31,9
295,3733,41,31,9
296,3744,39,29,11
297,3749,45,35,5
298,3757,42,32,8
299,3770,37,27,13
300,3778,42,32,8
301,3786,42,32,8
302,3806,30,20,20
303,3814,42,32,8
304,3826,38,28,12
305,3834,42,32,8
306,3844,40,30,10
307,3850,44,34,6
308,3867,33,23,17
309,3879,38,28,12
310,3893,36,26,14
311,3904,39,29,11
312,3911,43,33,7
313,3927,34,24,16
314,3936,41,31,9
315,3946,40,30,10
316,3952,44,34,6
317,3959,43,33,7
318,3965,44,34,6
319,3974,41,31,9
320,3984,40,30,10
321,3993,41,31,9
322,3999,44,34,6
323,4008,41,31,9
324,4023,35,25,15
325,4029,44,34,6
326,4034,45,35,5
327,4046,38,28,12
328,4056,40,30,10
329,4063,43,33,7
330,4069,44,34,6
331,4077,42,32,8
332,4085,42,32,8
333,4091,44,34,6
334,4103,38,28,12
335,4108,45,35,5
336,4118,40,30,10
337,4131,37,27,13
338,4137,44,34,6
339,4142,45,35,5
340,4151,41,31,9
341,4158,43,33,7
342,4168,40,30,10
343,4175,43,33,7
344,4192,33,23,17
345,4198,44,34,6
346,4205,43,33,7
347,4212,43,33,7
348,4221,41,31,9
349,4237,34,24,16
350,4246,41,31,9
351,4256,40,30,10
352,4263,43,33,7
353,4271,42,42,8
354,4278,43,33,7
355,4283,45,35,5
356,4288,45,35,5
357,4293,45,35,5
358,4301,42,32,8
359,4319,32,22,18
360,4324,45,35,5
361,4335,39,29,11
362,4341,44,34,6
363,4350,41,31,9
364,4361,39,29,11
365,4370,41,31,9
366,4379,41,31,9
367,4390,39,29,11
368,4396,44,34,6
369,4411,35,25,15
370,4417,44,34,6
371,4431,36,26,14
372,4438,43,33,7
373,4453,35,25,15
374,4463,40,30,10
375,4473,40,30,10
376,4480,43,33,7
377,4489,41,31,9
378,4498,41,31,9
379,4509,39,29,11
380,4517,42,32,8
381,4524,43,33,7
382,4531,43,33,7
383,4548,33,23,17
384,4556,42,32,8
385,4565,41,31,9
386,4573,42,32,8
387,4582,41,31,9
388,4598,34,24,16
389,4608,40,30,10
390,4618,40,30,10
391,4627,41,31,9
392,4634,43,33,7
393,4648,36,26,14
394,4673,25,15,25
395,4682,41,31,9
396,4695,37,27,13
397,4701,44,34,6
398,4708,43,33,7
399,4719,39,29,11
400,4724,45,35,5
401,4729,45,35,5
402,4736,43,33,7
403,4743,43,33,7
404,4748,45,35,5
405,4753,45,35,5
406,4758,45,35,5
407,4765,43,33,7
408,4771,44,34,6
409,4779,42,32,8
410,4788,41,31,9
411,4794,44,34,6
412,4804,40,30,10
413,4815,39,29,11
414,4822,43,33,7
415,4829,43,33,7
416,4837,42,32,8
417,4845,42,32,8
418,4853,42,32,8
419,4861,42,32,8
420,4870,41,31,9
421,4879,41,31,9
422,4890,39,29,11
423,4895,45,35,5
424,4902,43,33,7
425,4908,44,34,6
426,4916,42,32,8
427,4921,45,35,5
428,4930,41,31,9
429,4937,43,33,7
430,4946,41,31,9
431,4952,44,34,6
432,4963,39,29,11
433,4972,41,31,9
434,4986,36,26,14
435,4993,43,33,7
436,5001,42,32,8
437,5007,44,34,6
438,5015,42,32,8
439,5029,36,26,14
440,5036,43,33,7
441,5043,43,33,7
442,5049,44,34,6
443,5069,30,20,20
444,5078,41,31,9
445,5084,44,34,6
446,5090,44,34,6
447,5098,42,32,8
448,5104,44,34,6
449,5109,45,35,5
450,5117,42,32,8
451,5126,41,31,9
452,5142,34,24,16
453,5150,42,32,8
454,5166,34,24,16
455,5173,43,33,7
456,5178,45,35,5
457,5184,44,34,6
458,5195,39,29,11
459,5201,44,34,6
460,5210,41,31,9
461,5220,40,30,10
462,5228,42,32,8
463,5236,42,32,8
464,5249,37,27,13
465,5262,37,27,13
466,5273,39,29,11
467,5282,41,31,9
468,5296,36,26,14
469,5305,41,31,9
470,5316,39,29,11
471,5322,44,34,6
472,5330,42,32,8
473,5339,41,31,9
474,5347,42,32,8
475,5355,42,32,8
476,5368,37,27,13
477,5379,39,29,11
478,5388,41,31,9
479,5397,41,31,9
480,5411,36,26,14
481,5421,40,30,10
482,5428,43,33,7
483,5438,40,30,10
484,5445,43,33,7
485,5456,39,29,11
486,5470,36,26,14
487,5477,43,33,7
488,5486,41,31,9
489,5492,44,34,6
490,5500,42,32,8
491,5509,41,31,9
492,5521,38,28,12
493,5526,45,35,5
494,5532,44,34,6
495,5538,44,34,6
496,5543,45,35,5
497,5553,40,30,10
498,5560,43,33,7
499,5568,42,32,8
500,5574,44,34,6
501,5582,42,32,8
502,5594,38,28,12
503,5604,40,40,10
504,5616,38,28,12
505,5623,43,33,7
506,5634,39,29,11
507,5644,40,30,10
508,5651,43,33,7
509,5660,41,31,9
510,5668,42,32,8
511,5674,44,34,6
512,5679,45,35,5
513,5685,44,34,6
514,5691,44,34,6
515,5699,42,32,8
516,5709,40,30,10
517,5724,35,25,15
518,5729,45,35,5
519,5736,43,33,7
520,5741,45,35,5
521,5749,42,32,8
