,timesteps,reward,hidden_reward,episode_length
285,6211,44,34,6
286,6222,39,29,11
287,6232,40,30,10
288,6247,35,25,15
289,6259,38,28,12
290,6269,40,30,10
291,6280,39,29,11
292,6293,37,27,13
293,6305,38,28,12
294,6314,41,31,9
295,6324,40,30,10
296,6331,43,33,7
297,6344,37,27,13
298,6358,36,26,14
299,6374,34,24,16
300,6380,44,34,6
301,6387,43,33,7
302,6394,43,33,7
303,6420,24,14,26
304,6426,44,34,6
305,6435,41,31,9
306,6452,33,23,17
307,6457,45,35,5
308,6469,38,28,12
309,6491,28,18,22
310,6503,38,28,12
311,6514,39,29,11
312,6523,41,31,9
313,6535,38,28,12
314,6549,36,26,14
315,6558,41,31,9
316,6578,30,20,20
317,6597,31,21,19
318,6604,43,33,7
319,6614,40,30,10
320,6621,43,33,7
321,6636,35,25,15
322,6663,23,13,27
323,6675,38,38,12
324,6691,34,24,16
325,6698,43,33,7
326,6715,33,23,17
327,6721,44,34,6
328,6730,41,31,9
329,6742,38,28,12
330,6752,40,30,10
331,6768,34,24,16
332,6777,41,31,9
333,6789,38,28,12
334,6796,43,33,7
335,6806,40,30,10
336,6820,36,26,14
337,6828,42,32,8
338,6840,38,28,12
339,6851,39,29,11
340,6863,38,28,12
341,6874,39,29,11
342,6880,44,34,6
343,6886,44,34,6
344,6894,42,32,8
345,6906,38,28,12
346,6911,45,35,5
347,6919,42,32,8
348,6929,40,30,10
349,6936,43,33,7
350,6954,32,22,18
351,6963,41,31,9
352,6979,34,24,16
353,6996,33,23,17
354,7004,42,32,8
355,7011,43,33,7
356,7026,35,25,15
357,7035,41,31,9
358,7048,37,37,13
359,7057,41,31,9
360,7067,40,30,10
361,7082,35,25,15
362,7103,29,19,21
363,7108,45,35,5
364,7116,42,32,8
365,7122,44,34,6
366,7130,42,32,8
367,7148,32,22,18
368,7157,41,31,9
369,7167,40,30,10
370,7190,27,27,23
371,7200,40,30,10
372,7210,40,30,10
373,7224,36,36,14
374,7236,38,28,12
375,7250,36,26,14
376,7265,35,35,15
377,7275,40,30,10
378,7282,43,33,7
379,7288,44,34,6
380,7306,32,22,18
381,7312,44,34,6
382,7321,41,31,9
383,7339,32,22,18
384,7347,42,32,8
385,7372,25,15,25
386,7391,31,21,19
387,7397,44,34,6
388,7411,36,26,14
389,7417,44,34,6
390,7425,42,32,8
391,7432,43,33,7
392,7441,41,31,9
393,7450,41,31,9
394,7464,36,26,14
395,7484,30,20,20
396,7494,40,30,10
397,7503,41,31,9
398,7518,35,25,15
399,7528,40,30,10
400,7547,31,21,19
401,7571,26,16,24
402,7576,45,35,5
403,7583,43,33,7
404,7591,42,32,8
405,7619,22,12,28
406,7632,37,27,13
407,7640,42,32,8
408,7647,43,33,7
409,7655,42,32,8
410,7664,41,31,9
411,7674,40,30,10
412,7685,39,29,11
413,7693,42,32,8
414,7700,43,33,7
415,7710,40,30,10
416,7715,45,35,5
417,7733,32,22,18
418,7748,35,25,15
419,7758,40,40,10
420,7767,41,31,9
421,7786,31,21,19
422,7793,43,33,7
423,7802,41,31,9
424,7810,42,32,8
425,7818,42,32,8
426,7824,44,34,6
427,7843,31,21,19
428,7861,32,22,18
429,7874,37,27,13
430,7882,42,32,8
431,7889,43,33,7
432,7896,43,33,7
433,7910,36,26,14
434,7918,42,32,8
435,7927,41,31,9
436,7934,43,33,7
437,7943,41,31,9
438,7950,43,33,7
439,7960,40,30,10
440,7976,34,24,16
441,7989,37,27,13
442,7997,42,32,8
443,8004,43,33,7
444,8014,40,30,10
445,8021,43,33,7
446,8028,43,33,7
447,8038,40,30,10
448,8050,38,28,12
449,8059,41,31,9
450,8066,43,33,7
451,8074,42,32,8
452,8087,37,27,13
453,8103,34,24,16
454,8110,43,33,7
455,8115,45,35,5
456,8121,44,34,6
457,8129,42,32,8
458,8142,37,27,13
459,8161,31,21,19
460,8173,38,28,12
461,8180,43,33,7
462,8204,26,16,24
463,8216,38,28,12
464,8227,39,29,11
465,8235,42,32,8
466,8243,42,32,8
467,8252,41,31,9
468,8261,41,31,9
469,8274,37,27,13
470,8282,42,32,8
471,8291,41,31,9
472,8299,42,32,8
473,8306,43,33,7
474,8318,38,28,12
475,8325,43,33,7
476,8340,35,25,15
477,8347,43,33,7
478,8353,44,34,6
479,8382,21,11,29
480,8390,42,32,8
481,8397,43,33,7
482,8406,41,31,9
483,8413,43,33,7
