,timesteps,reward,hidden_reward,episode_length
277,2927,17,17,3
278,2930,47,17,3
279,2933,17,17,3
280,2936,17,17,3
281,2939,17,17,3
282,2943,46,16,4
283,2947,16,16,4
284,2950,47,17,3
285,2953,17,17,3
286,2956,47,17,3
287,2959,17,17,3
288,2962,17,17,3
289,2966,-14,-14,4
290,2969,47,17,3
291,2972,17,17,3
292,2977,45,15,5
293,3064,-37,-37,87
294,3068,46,-14,4
295,3071,47,17,3
296,3074,17,17,3
297,3078,46,-14,4
298,3081,17,17,3
299,3085,16,16,4
300,3088,17,17,3
301,3091,17,17,3
302,3094,17,17,3
303,3097,17,17,3
304,3102,-15,-15,5
305,3105,17,17,3
306,3108,17,17,3
307,3111,17,17,3
308,3114,17,17,3
309,3117,47,17,3
310,3121,46,16,4
311,3125,46,-14,4
312,3128,47,17,3
313,3131,17,17,3
314,3135,46,-14,4
315,3138,17,17,3
316,3149,39,9,11
317,3152,17,17,3
318,3156,-14,-14,4
319,3159,47,17,3
320,3162,47,17,3
321,3165,47,17,3
322,3265,-100,-100,100
323,3268,47,17,3
324,3271,17,17,3
325,3274,47,17,3
326,3277,17,17,3
327,3280,47,17,3
328,3283,47,17,3
329,3286,47,17,3
330,3289,17,17,3
331,3292,17,17,3
332,3295,17,17,3
333,3298,17,17,3
334,3301,47,17,3
335,3304,47,17,3
336,3308,46,16,4
337,3311,47,17,3
338,3314,17,17,3
339,3319,15,15,5
340,3324,15,15,5
341,3327,17,17,3
342,3330,47,17,3
343,3334,46,16,4
344,3337,47,17,3
345,3340,17,17,3
346,3344,46,16,4
347,3347,47,17,3
348,3350,17,17,3
349,3354,16,16,4
350,3357,17,17,3
351,3360,17,17,3
352,3363,17,17,3
353,3366,17,17,3
354,3369,47,17,3
355,3372,47,17,3
356,3375,17,17,3
357,3378,17,17,3
358,3381,17,17,3
359,3385,46,16,4
360,3389,46,16,4
361,3489,-100,-100,100
362,3492,17,17,3
363,3495,17,17,3
364,3499,46,16,4
365,3502,17,17,3
366,3505,47,17,3
367,3508,17,17,3
368,3511,17,17,3
369,3514,17,17,3
370,3517,47,17,3
371,3520,17,17,3
372,3523,47,17,3
373,3526,17,17,3
374,3541,5,5,15
375,3547,-46,-46,6
376,3550,17,17,3
377,3554,-14,-14,4
378,3557,47,17,3
379,3560,17,17,3
380,3563,47,17,3
381,3566,17,17,3
382,3569,47,17,3
383,3572,17,17,3
384,3575,17,17,3
385,3579,46,16,4
386,3582,17,17,3
387,3585,17,17,3
388,3588,17,17,3
389,3592,46,-14,4
390,3595,17,17,3
391,3599,46,16,4
392,3602,47,17,3
393,3605,17,17,3
394,3608,47,17,3
395,3611,17,17,3
396,3614,17,17,3
397,3617,17,17,3
398,3620,17,17,3
399,3623,47,17,3
400,3626,47,17,3
401,3629,17,17,3
402,3632,17,17,3
403,3636,16,16,4
404,3639,17,17,3
405,3642,17,17,3
406,3645,17,17,3
407,3648,47,17,3
408,3651,47,17,3
409,3655,16,16,4
410,3658,17,17,3
411,3661,17,17,3
412,3664,17,17,3
413,3667,47,17,3
414,3727,-10,-40,60
415,3755,-8,-8,28
416,3758,17,17,3
417,3761,17,17,3
418,3765,46,-14,4
419,3769,46,16,4
420,3772,47,17,3
421,3775,17,17,3
422,3778,17,17,3
423,3781,17,17,3
424,3784,17,17,3
425,3788,-14,-14,4
426,3792,16,16,4
427,3795,17,17,3
428,3798,47,17,3
429,3801,47,17,3
430,3806,45,-15,5
431,3809,17,17,3
432,3812,17,17,3
433,3815,47,17,3
434,3818,17,17,3
435,3821,47,17,3
436,3824,47,17,3
